baseline 0.015 0.3025 0.07 -0.5 0.3025 -0.07 0.5 0.0 0.0 0.0 0.0
    1.000000      0.000000
    0.999013      0.000001
    0.996057      0.000019
    0.991144      0.000092
    0.984292      0.000285
    0.975528      0.000673
    0.964888      0.001340
    0.952414      0.002368
    0.938153      0.003825
    0.922164      0.005762
    0.904508      0.008203
    0.885257      0.011144
    0.864484      0.014548
    0.842274      0.018354
    0.818712      0.022478
    0.793893      0.026819
    0.767913      0.031267
    0.740877      0.035715
    0.712890      0.040061
    0.684062      0.044219
    0.654508      0.048121
    0.624345      0.051720
    0.593691      0.054989
    0.562667      0.057918
    0.531395      0.060513
    0.500000      0.062784
    0.468605      0.064746
    0.437333      0.066410
    0.406309      0.067778
    0.375655      0.068840
    0.345492      0.069577
    0.315938      0.069956
    0.287110      0.069939
    0.259123      0.069482
    0.232087      0.068543
    0.206107      0.067088
    0.181288      0.065096
    0.157726      0.062559
    0.135516      0.059488
    0.114743      0.055914
    0.095492      0.051883
    0.077836      0.047455
    0.061847      0.042699
    0.047586      0.037686
    0.035112      0.032486
    0.024472      0.027162
    0.015708      0.021764
    0.008856      0.016331
    0.003943      0.010887
    0.000987      0.005442
    0.000000      0.000000
    0.000987     -0.005442
    0.003943     -0.010887
    0.008856     -0.016331
    0.015708     -0.021764
    0.024472     -0.027162
    0.035112     -0.032486
    0.047586     -0.037686
    0.061847     -0.042699
    0.077836     -0.047455
    0.095492     -0.051883
    0.114743     -0.055914
    0.135516     -0.059488
    0.157726     -0.062559
    0.181288     -0.065096
    0.206107     -0.067088
    0.232087     -0.068543
    0.259123     -0.069482
    0.287110     -0.069939
    0.315938     -0.069956
    0.345492     -0.069577
    0.375655     -0.068840
    0.406309     -0.067778
    0.437333     -0.066410
    0.468605     -0.064746
    0.500000     -0.062784
    0.531395     -0.060513
    0.562667     -0.057918
    0.593691     -0.054989
    0.624345     -0.051720
    0.654508     -0.048121
    0.684062     -0.044219
    0.712890     -0.040061
    0.740877     -0.035715
    0.767913     -0.031267
    0.793893     -0.026819
    0.818712     -0.022478
    0.842274     -0.018354
    0.864484     -0.014548
    0.885257     -0.011144
    0.904508     -0.008203
    0.922164     -0.005762
    0.938153     -0.003825
    0.952414     -0.002368
    0.964888     -0.001340
    0.975528     -0.000673
    0.984292     -0.000285
    0.991144     -0.000092
    0.996057     -0.000019
    0.999013     -0.000001
    1.000000     -0.000000
