MSHD Airfoil_closedFoil
 0.9999967     0.0003293
 0.9929470     0.0093289
 0.9825823     0.0207822
 0.9706196     0.0298576
 0.9561025     0.0391962
 0.9389341     0.0488696
 0.9214070     0.0578058
 0.9018142     0.0672511
 0.8792366     0.0771750
 0.8546081     0.0872702
 0.8295478     0.0965388
 0.8052128     0.1039085
 0.7789623     0.1118606
 0.7503822     0.1203198
 0.7211476     0.1286748
 0.6930913     0.1356337
 0.6645978     0.1418058
 0.6352336     0.1477399
 0.6061065     0.1529131
 0.5774762     0.1573339
 0.5491278     0.1609409
 0.5197733     0.1641446
 0.4894122     0.1669155
 0.4590498     0.1688775
 0.4289970     0.1699642
 0.3999691     0.1698612
 0.3709178     0.1689965
 0.3418673     0.1673799
 0.3124452     0.1649784
 0.2834915     0.1616717
 0.2553707     0.1574719
 0.2286420     0.1525133
 0.2019970     0.1465178
 0.1759844     0.1393573
 0.1518446     0.1323452
 0.1287797     0.1235628
 0.1071761     0.1122581
 0.0877277     0.1005057
 0.0714113     0.0903229
 0.0580766     0.0818757
 0.0472945     0.0713959
 0.0382280     0.0623023
 0.0299964     0.0539120
 0.0223805     0.0448275
 0.0160435     0.0359094
 0.0109172     0.0281590
 0.0072736     0.0209546
 0.0046541     0.0135820
 0.0024963     0.0074509
 0.0008958    -0.0018227
 0.0001629    -0.0076525
 0.0001385    -0.0085477
-0.0000033    -0.0086324
 0.0003895    -0.0122660
 0.0016869    -0.0160921
 0.0037868    -0.0194963
 0.0070987    -0.0216583
 0.0119407    -0.0222794
 0.0176719    -0.0225969
 0.0244371    -0.0227570
 0.0329156    -0.0224053
 0.0439338    -0.0215193
 0.0581839    -0.0202945
 0.0766325    -0.0165906
 0.0997019    -0.0116464
 0.1258036    -0.0053577
 0.1533049     0.0031097
 0.1802388     0.0120833
 0.2064789     0.0205445
 0.2336238     0.0294132
 0.2604391     0.0378283
 0.2886702     0.0462653
 0.3179781     0.0543945
 0.3474131     0.0619195
 0.3773202     0.0688192
 0.4076873     0.0752197
 0.4372057     0.0806953
 0.4652017     0.0853511
 0.4937490     0.0894770
 0.5231470     0.0930040
 0.5527800     0.0957754
 0.5828311     0.0978225
 0.6111775     0.0990911
 0.6385181     0.0995924
 0.6670205     0.0993299
 0.6956853     0.0980240
 0.7227266     0.0960837
 0.7496625     0.0933628
 0.7771888     0.0887611
 0.8052703     0.0822354
 0.8326064     0.0744515
 0.8596952     0.0662679
 0.8859223     0.0575512
 0.9102343     0.0486522
 0.9305523     0.0406226
 0.9464459     0.0337932
 0.9587455     0.0276419
 0.9696586     0.0220178
 0.9808523     0.0151161
 0.9917288     0.0069051
 0.9999967     0.0003290
