pareto_foil_4 0.03782004444805836 0.4 0.1754254574169309 -0.92 0.65 0.11 -1.0504553324070276 0.0 0.0 -30.0 2.01
    1.000000      0.000000
    0.999013      0.000593
    0.996057      0.002370
    0.991144      0.005323
    0.984292      0.009436
    0.975528      0.014682
    0.964888      0.021014
    0.952414      0.028365
    0.938153      0.036641
    0.922164      0.045721
    0.904508      0.055456
    0.885257      0.065675
    0.864484      0.076188
    0.842274      0.086794
    0.818712      0.097295
    0.793893      0.107502
    0.767913      0.117244
    0.740877      0.126382
    0.712890      0.134806
    0.684062      0.142445
    0.654508      0.149260
    0.624345      0.155245
    0.593691      0.160413
    0.562667      0.164791
    0.531395      0.168408
    0.500000      0.171285
    0.468605      0.173426
    0.437333      0.174814
    0.406309      0.175407
    0.375655      0.175143
    0.345492      0.173942
    0.315938      0.171717
    0.287110      0.168387
    0.259123      0.163888
    0.232087      0.158185
    0.206107      0.151283
    0.181288      0.143234
    0.157726      0.134138
    0.135516      0.124144
    0.114743      0.113439
    0.095492      0.102239
    0.077836      0.090773
    0.061847      0.079265
    0.047586      0.067919
    0.035112      0.056900
    0.024472      0.046323
    0.015708      0.036245
    0.008856      0.026660
    0.003943      0.017506
    0.000987      0.008669
    0.000000      0.000000
    0.000987     -0.008511
    0.003943     -0.016262
    0.008856     -0.022552
    0.015708     -0.026799
    0.024472     -0.028580
    0.035112     -0.027666
    0.047586     -0.024027
    0.061847     -0.017833
    0.077836     -0.009425
    0.095492      0.000718
    0.114743      0.012032
    0.135516      0.023916
    0.157726      0.035790
    0.181288      0.047137
    0.206107      0.057549
    0.232087      0.066743
    0.259123      0.074577
    0.287110      0.081042
    0.315938      0.086245
    0.345492      0.090378
    0.375655      0.093683
    0.406309      0.096413
    0.437333      0.098795
    0.468605      0.101001
    0.500000      0.103123
    0.531395      0.105167
    0.562667      0.107053
    0.593691      0.108627
    0.624345      0.109683
    0.654508      0.109989
    0.684062      0.109323
    0.712890      0.107494
    0.740877      0.104375
    0.767913      0.099914
    0.793893      0.094147
    0.818712      0.087195
    0.842274      0.079258
    0.864484      0.070594
    0.885257      0.061501
    0.904508      0.052290
    0.922164      0.043263
    0.938153      0.034694
    0.952414      0.026812
    0.964888      0.019795
    0.975528      0.013768
    0.984292      0.008805
    0.991144      0.004944
    0.996057      0.002193
    0.999013      0.000547
    1.000000     -0.000000
